"min_edge","rule","total_profit","n_bets","technique","output_folder"
0.11,"P(side) > implied + 0.11",102.17,290,"L1 (lambda.min features + glm)","l1regularization_selectionsmodel"
0.12,"P(side) > implied + 0.12",32.89,218,"L1 (lambda.min features + glm)","l1regularization_selectionsmodel"
0.13,"P(side) > implied + 0.13",-21.92,152,"L1 (lambda.min features + glm)","l1regularization_selectionsmodel"
0.14,"P(side) > implied + 0.14",-19.23,108,"L1 (lambda.min features + glm)","l1regularization_selectionsmodel"
0.15,"P(side) > implied + 0.15",-53.19,71,"L1 (lambda.min features + glm)","l1regularization_selectionsmodel"
0,"P(side) > implied + 0.00",-3694.02,10179,"PCA loadings","pca_loading_selectionsmodel"
0.01,"P(side) > implied + 0.01",-2584.85,7924,"PCA loadings","pca_loading_selectionsmodel"
0.02,"P(side) > implied + 0.02",-2218.74,6033,"PCA loadings","pca_loading_selectionsmodel"
0.03,"P(side) > implied + 0.03",-1469.1,4505,"PCA loadings","pca_loading_selectionsmodel"
0.04,"P(side) > implied + 0.04",-1052.96,3375,"PCA loadings","pca_loading_selectionsmodel"
0.05,"P(side) > implied + 0.05",-1152.83,2482,"PCA loadings","pca_loading_selectionsmodel"
0.06,"P(side) > implied + 0.06",-887.93,1879,"PCA loadings","pca_loading_selectionsmodel"
0.07,"P(side) > implied + 0.07",-846.24,1410,"PCA loadings","pca_loading_selectionsmodel"
0.08,"P(side) > implied + 0.08",-783.2,1104,"PCA loadings","pca_loading_selectionsmodel"
0.09,"P(side) > implied + 0.09",-426.75,881,"PCA loadings","pca_loading_selectionsmodel"
0.1,"P(side) > implied + 0.10",-268.97,702,"PCA loadings","pca_loading_selectionsmodel"
0.11,"P(side) > implied + 0.11",-277.67,574,"PCA loadings","pca_loading_selectionsmodel"
0.12,"P(side) > implied + 0.12",-304.64,455,"PCA loadings","pca_loading_selectionsmodel"
0.13,"P(side) > implied + 0.13",-372.8,366,"PCA loadings","pca_loading_selectionsmodel"
0.14,"P(side) > implied + 0.14",-236.02,302,"PCA loadings","pca_loading_selectionsmodel"
0.15,"P(side) > implied + 0.15",-191.1,260,"PCA loadings","pca_loading_selectionsmodel"
0,"P(side) > implied + 0.00",-5187.58,9972,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.01,"P(side) > implied + 0.01",-3072.76,7563,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.02,"P(side) > implied + 0.02",-2392.69,5560,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.03,"P(side) > implied + 0.03",-810.3,4035,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.04,"P(side) > implied + 0.04",-957.42,2869,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.05,"P(side) > implied + 0.05",-1000.9,1993,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.06,"P(side) > implied + 0.06",-242.71,1396,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.07,"P(side) > implied + 0.07",-2.13,958,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.08,"P(side) > implied + 0.08",-290.33,692,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.09,"P(side) > implied + 0.09",-32.21,496,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.1,"P(side) > implied + 0.10",127.47,369,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.11,"P(side) > implied + 0.11",108.93,266,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.12,"P(side) > implied + 0.12",84.08,189,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.13,"P(side) > implied + 0.13",-96.27,130,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.14,"P(side) > implied + 0.14",-117.07,105,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0.15,"P(side) > implied + 0.15",-67.73,73,"Ridge (top-K |coef|)","ridge_selectionsmodel"
0,"P(side) > implied + 0.00",-4576.8,11072,"Stability Lasso","stability_lasso_selectionsmodel"
0.01,"P(side) > implied + 0.01",-3247.21,8356,"Stability Lasso","stability_lasso_selectionsmodel"
0.02,"P(side) > implied + 0.02",-1599.16,5403,"Stability Lasso","stability_lasso_selectionsmodel"
0.03,"P(side) > implied + 0.03",-823.16,2225,"Stability Lasso","stability_lasso_selectionsmodel"
0.04,"P(side) > implied + 0.04",-443.99,621,"Stability Lasso","stability_lasso_selectionsmodel"
0.05,"P(side) > implied + 0.05",37.4,122,"Stability Lasso","stability_lasso_selectionsmodel"
0.06,"P(side) > implied + 0.06",35.03,8,"Stability Lasso","stability_lasso_selectionsmodel"
0.07,"P(side) > implied + 0.07",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.08,"P(side) > implied + 0.08",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.09,"P(side) > implied + 0.09",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.1,"P(side) > implied + 0.10",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.11,"P(side) > implied + 0.11",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.12,"P(side) > implied + 0.12",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.13,"P(side) > implied + 0.13",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.14,"P(side) > implied + 0.14",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
0.15,"P(side) > implied + 0.15",0,0,"Stability Lasso","stability_lasso_selectionsmodel"
